387330,387330,22.3685344101,114.1159354661,12.9997659059
387331,387331,22.3685325120,114.1159540431,35.4097836135
387332,387332,22.3684676081,114.1159837276,46.4159697778
387333,387333,22.3684507716,114.1159956603,54.3997134277
387334,387334,22.3685009065,114.1160132651,50.7551571997
387335,387335,22.3685010494,114.1159934503,46.3834234808
387336,387336,22.3684883399,114.1159761594,48.5701158878
387337,387337,22.3684674258,114.1159728024,52.2659988347
387338,387338,22.3685045364,114.1159625829,36.5605349248
387339,387339,22.3684706450,114.1160143129,46.0201262058
387340,387340,22.3684654709,114.1160194378,49.1084403366
387341,387341,22.3684463452,114.1160416059,48.0820119875
387342,387342,22.3684430925,114.1160332673,49.4595548645
387343,387343,22.3684348458,114.1160120913,48.7531220893
387344,387344,22.3684330946,114.1160091151,40.7753577792
387345,387345,22.3684405647,114.1159915112,46.9405781743
387346,387346,22.3684288472,114.1159883285,41.9395297893
387347,387347,22.3684374801,114.1159526018,33.0872090175
387348,387348,22.3684233821,114.1159580432,34.4415999731
387349,387349,22.3684432489,114.1159654590,23.9069064930
387350,387350,22.3685228639,114.1159653484,-1.3891414467
